name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cupertino,2023-10-02,76.7,54.4,63.4,76.7,54.4,63.4,51.3,66.4,0,0,0,,0,0,17.2,13.1,332.9,1016.1,8.7,9.6,214.8,18.5,8,10,2023-10-02T07:04:20,2023-10-02T18:50:04,0.61,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-03,78.2,54.8,66.3,78.2,54.8,66.3,51.1,60.5,0,0,0,,0,0,11.4,9.7,333.4,1015,0.6,9.6,214.6,18.6,8,10,2023-10-03T07:05:12,2023-10-03T18:48:34,0.64,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-04,89.3,59,73.5,86.6,59,72.9,52.4,50.9,0,0,0,,0,0,11.4,8,330.2,1013.8,0,9.9,210.8,18.1,7,10,2023-10-04T07:06:04,2023-10-04T18:47:05,0.68,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-05,91.7,63.5,76.6,89,63.5,75.9,53.2,46.6,0,0,0,,0,0,16.1,9.9,337.5,1015.2,0,9.9,211.8,18.4,8,10,2023-10-05T07:06:57,2023-10-05T18:45:36,0.71,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-06,92.4,64.4,77.4,89.7,64.4,76.5,53.1,45.6,0,0,0,,0,0,16.1,9.9,346.6,1013.7,0,9.8,210.5,18.1,8,10,2023-10-06T07:07:50,2023-10-06T18:44:07,0.75,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-07,91.6,64.4,76.2,88.6,64.4,75.5,52.8,46.3,0,0,0,,0,0,15,10.8,337.2,1011.3,0,9.8,208.2,18.1,7,10,2023-10-07T07:08:43,2023-10-07T18:42:39,0.77,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-08,79,60,69,79,60,69,56.8,66,0,0,0,,0,0,15,11.3,333.3,1011.3,5.7,9.9,206.3,17.8,7,10,2023-10-08T07:09:36,2023-10-08T18:41:11,0.81,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-09,72.7,59.6,65.3,72.7,59.6,65.3,54.6,69.4,0,0,0,,0,0,12.8,9.1,86.2,1011.4,86.8,9.9,98.2,8.6,4,10,2023-10-09T07:10:30,2023-10-09T18:39:45,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-10,71.9,62.5,67.3,71.9,62.5,67.3,54.5,65.4,0,0,0,,0,0,24.2,10.4,324.4,1010,72,9.9,179.7,15.5,7,10,2023-10-10T07:11:24,2023-10-10T18:38:18,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-11,72.1,59,64.3,72.1,59,64.3,49.2,59.7,0,0,0,,0,0,27.5,15.7,316.1,1011.3,16.8,9.8,204.5,17.6,7,10,2023-10-11T07:12:19,2023-10-11T18:36:52,0.9,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-12,79,53.2,64.4,79,53.2,64.4,46.3,55.3,0,0,0,,0,0,17.2,11.4,336.1,1010.5,14.2,9.8,195.1,16.9,7,10,2023-10-12T07:13:13,2023-10-12T18:35:27,0.94,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-13,74.3,54.4,64.1,74.3,54.4,64.1,47.6,56.4,0,0,0,,0,0,12.8,13.6,337.1,1011.8,33.6,9.9,168.4,14.7,8,10,2023-10-13T07:14:08,2023-10-13T18:34:03,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-14,78.1,59.6,65.9,78.1,59.6,65.9,51.6,63.1,0,0,0,,0,0,10.3,15.5,335.7,1017.4,59.5,9.9,167.6,14.6,7,10,2023-10-14T07:15:04,2023-10-14T18:32:39,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-15,79.6,62.7,68.1,79.6,62.7,68.1,56.9,69.7,0,0,0,,0,0,9.2,12.7,330.6,1018.6,49.3,9.2,181.8,15.7,7,10,2023-10-15T07:15:59,2023-10-15T18:31:16,0.04,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-16,77.9,55.7,65.8,77.9,55.7,65.8,55.9,72.5,0,0,0,,0,0,17.2,14.2,331.1,1018.7,18.8,9.8,171.8,14.7,7,10,2023-10-16T07:16:55,2023-10-16T18:29:54,0.07,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-17,77.6,62.5,67.3,77.6,62.5,67.3,59.6,77.7,0,0,0,,0,0,12.8,12.1,332.3,1016,42.4,9.1,163.6,14,7,10,2023-10-17T07:17:52,2023-10-17T18:28:33,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-18,84.8,58.1,70.6,83.4,58.1,70.3,55.5,62.6,0,0,0,,0,0,11.4,6.9,339.1,1013.5,3,9.9,187.3,16.3,7,10,2023-10-18T07:18:48,2023-10-18T18:27:13,0.14,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-19,87.7,61.5,73.8,86.3,61.5,73.4,55,53.9,0,0,0,,0,0,11.4,8.1,326.3,1013.3,4.4,9.5,184.2,15.9,7,10,2023-10-19T07:19:46,2023-10-19T18:25:53,0.18,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
cupertino,2023-10-20,71.4,60.5,65.2,71.4,60.5,65.2,56.4,73.8,0,0,0,,0,0,13.9,12.6,338,1013.9,40.7,9.1,174.9,15.1,7,10,2023-10-20T07:20:43,2023-10-20T18:24:35,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSJC,74509023244,E3923,KHWD,72494523293,KNUQ"
