name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"bloomington, mn",2023-10-02,88.6,67.4,77.6,87,67.4,77.1,55.6,48,0,0,0,,0,0,28.8,17.3,174.9,1016.4,14.2,9.9,129.2,11.2,6,10,2023-10-02T07:12:11,2023-10-02T18:52:18,0.61,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-03,85.8,67.2,74.8,84.6,67.2,74.6,57.5,56.9,0.061,100,12.5,rain,0,0,38.8,23,180.5,1010.9,52.1,9.6,81.5,7,6,10,2023-10-03T07:13:25,2023-10-03T18:50:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-04,70.2,55.4,62.7,70.2,55.4,62.7,53.7,72.9,0.075,100,8.33,rain,0,0,38,19.6,233.5,1009.4,78.8,9.8,35.7,3,2,10,2023-10-04T07:14:39,2023-10-04T18:48:35,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-05,62.9,52.7,57.1,62.9,52.7,57.1,43.9,62.5,0.012,100,8.33,rain,0,0,37.8,20.3,269,1012,49.3,9.9,79.1,6.8,7,10,2023-10-05T07:15:53,2023-10-05T18:46:45,0.71,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-06,55.2,44.2,50,55.2,37.5,46.9,38.3,65.2,0.062,100,20.83,rain,0,0,38.1,20.1,301.5,1016.2,76.6,9.6,70,6.1,7,10,2023-10-06T07:17:08,2023-10-06T18:44:55,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-07,52.2,43.2,48.1,52.2,39.4,45.7,36.7,65.2,0,0,0,,0,0,25.3,14.2,303.6,1022.4,80.6,9.9,106.3,9.2,7,10,2023-10-07T07:18:22,2023-10-07T18:43:05,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-08,59.8,46.5,51.8,59.8,42.8,50.6,35.7,55.5,0,0,0,,0,0,29.8,9.4,49.8,1015.4,77.2,9.8,145.4,12.5,7,10,2023-10-08T07:19:37,2023-10-08T18:41:16,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-09,56,38.8,47.5,56,34,45.2,32.2,57.8,0,0,0,,0,0,23.4,15.4,325.9,1013.4,10.9,9.9,131.2,11.5,7,10,2023-10-09T07:20:53,2023-10-09T18:39:27,0.84,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-10,57.8,38.1,47.2,57.8,34.6,45.5,31.6,56.8,0,0,0,,0,0,20.8,13.1,308.5,1010.2,9.7,9.8,127.8,11,7,10,2023-10-10T07:22:08,2023-10-10T18:37:40,0.87,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP"
"bloomington, mn",2023-10-11,61.8,38.4,49.2,61.8,34.7,48.9,37.5,65.8,0,0,0,,0,0,18.3,11.9,73.9,1009.1,7.4,9.8,124.7,10.8,6,10,2023-10-11T07:23:24,2023-10-11T18:35:52,0.9,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-12,53.7,44.1,49.2,53.7,38.4,45.8,39.9,70.6,0.274,100,25,rain,0,0,35.3,18.3,78.5,1012.1,57.7,9.1,29.5,2.5,2,10,2023-10-12T07:24:40,2023-10-12T18:34:06,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-13,48.8,46.9,48,43,39.5,41.6,44.7,88.4,1.876,100,95.83,rain,0,0,38.4,20.2,67.2,1011.4,100,6.6,7.3,0.7,0,10,2023-10-13T07:25:57,2023-10-13T18:32:20,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-14,53.7,46.4,49.4,53.7,40.4,46.4,42.9,78.6,0.001,100,4.17,rain,0,0,28.6,16.1,15.7,1021.6,93.9,9.8,46.4,4,2,10,2023-10-14T07:27:14,2023-10-14T18:30:35,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-15,55.9,42,48.5,55.9,36.7,45.9,39.8,72.3,0.008,100,12.5,rain,0,0,21.9,14.1,329.9,1024.7,54.3,9.9,86.1,7.5,6,10,2023-10-15T07:28:31,2023-10-15T18:28:50,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-16,60.3,39.5,49.1,60.3,36,48,40.8,74.2,0,0,0,,0,0,12.8,8.1,337.8,1021.6,11.9,9.8,117.4,10.2,6,10,2023-10-16T07:29:48,2023-10-16T18:27:07,0.07,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-17,64.1,40.3,51.9,64.1,39.4,51.6,40,66.6,0,0,0,,0,0,13.9,7.6,183.6,1014.1,22,9.5,116.5,10,6,10,2023-10-17T07:31:06,2023-10-17T18:25:24,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-18,58.5,51,54.1,58.5,51,54.1,43.7,68.6,0.001,100,4.17,rain,0,0,19.5,9.8,162.9,1004.9,56,9.8,64.8,5.6,6,10,2023-10-18T07:32:24,2023-10-18T18:23:43,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-19,60.9,49.2,53.4,60.9,47.2,53.1,47.3,80.5,0.031,100,12.5,rain,0,0,20.8,12.2,312.3,1007.3,87.5,9.2,37.9,3.2,2,10,2023-10-19T07:33:43,2023-10-19T18:22:02,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-20,69.3,43.1,54.9,69.3,43.1,54.7,45.1,71.9,0,0,0,,0,0,17.2,7.5,223.8,1007.2,20.9,9.1,104.2,9,6,10,2023-10-20T07:35:01,2023-10-20T18:20:22,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-21,59.4,48.2,55.2,59.4,46.5,55,41.5,60.2,0,0,0,,0,0,32.9,20.8,317.9,1008.8,37.2,9.9,76.4,6.7,6,10,2023-10-21T07:36:20,2023-10-21T18:18:43,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-22,60,39.9,50.2,60,39.9,49.9,41.8,74.3,0,0,0,,0,0,17.2,8.2,159.3,1017.8,35.4,9.4,57.9,5,4,10,2023-10-22T07:37:40,2023-10-22T18:17:05,0.28,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-23,64.1,48.7,55.2,64.1,44.3,54.4,46.7,73.8,0.014,100,12.5,rain,0,0,19.5,10.8,129.5,1011.5,66.9,9.8,111.3,9.5,6,10,2023-10-23T07:38:59,2023-10-23T18:15:29,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-24,55.3,52.1,53.9,55.3,52.1,53.9,50.5,88.3,1.177,100,58.33,rain,0,0,19.7,12,8.5,1009.9,91.5,7.1,10.7,0.7,1,10,2023-10-24T07:40:19,2023-10-24T18:13:53,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-25,55.5,51.8,53.4,55.5,51.8,53.4,49.6,87.1,0.043,100,8.33,rain,0,0,13.9,10,30.9,1015.5,99.7,8.5,21.1,2,1,10,2023-10-25T07:41:39,2023-10-25T18:12:19,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-26,60.6,53,56.2,60.6,53,56.2,54.4,93.7,0.632,100,50,rain,0,0,11.4,9.5,20.7,1009.7,100,4.6,25.8,2.3,2,10,2023-10-26T07:43:00,2023-10-26T18:10:45,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2023-10-27,53.1,33,40.8,53.1,22.9,33.7,34.6,78.7,0.001,100,4.17,rain,0,0,34.7,21.2,291.1,1017.9,100,9.1,25.4,2.2,1,10,2023-10-27T07:44:20,2023-10-27T18:09:13,0.46,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
