name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pasadena,2023-10-02,91.3,75.7,82.3,91.7,75.7,83.4,67.8,63.7,0,0,0,,0,0,31.1,18.9,101.9,1016.1,41.7,9.8,212.8,18.5,8,10,2023-10-02T07:14:32,2023-10-02T19:05:24,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-03,81.5,76.5,78.6,87,76.5,79.4,75,88.8,1.225,100,75,rain,0,0,20.8,13.4,95.9,1013.7,94,6.6,37,3.1,2,60,2023-10-03T07:15:06,2023-10-03T19:04:12,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-04,84.6,78.9,80.8,95,78.9,85,76.5,87,0.774,100,70.83,rain,0,0,26.4,16.3,154,1012.7,92.4,7.7,117.5,10.2,6,60,2023-10-04T07:15:40,2023-10-04T19:03:00,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-05,81.3,72.7,76.5,87.1,72.7,77.3,71.3,84.3,0.464,100,29.17,rain,0,0,28.2,14.4,52.9,1014.1,86.6,8.9,44.5,3.8,3,30,2023-10-05T07:16:15,2023-10-05T19:01:49,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-06,84.3,69.5,76.5,84.3,69.5,76.6,62.8,64.8,0,0,0,,0,0,25.5,15.3,19.2,1017.1,62.1,9.9,198.3,17.2,8,10,2023-10-06T07:16:50,2023-10-06T19:00:38,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-07,76.8,66.6,72.3,76.8,66.6,72.3,54.2,53.6,0,0,0,,0,0,30,16.6,17,1021.5,61.1,9.9,178.8,15.5,8,10,2023-10-07T07:17:25,2023-10-07T18:59:28,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-08,73.9,58.8,67.1,73.9,58.8,67.1,43.8,44.1,0,0,0,,0,0,19.7,12.4,61.1,1020.4,60.3,9.9,125.3,10.8,7,10,2023-10-08T07:18:00,2023-10-08T18:58:18,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-09,81.8,60.9,70.5,80.8,60.9,70.3,52.1,54.6,0,0,0,,0,0,16.1,10,195.8,1014.8,49.9,9.9,203,17.5,8,10,2023-10-09T07:18:36,2023-10-09T18:57:09,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-10,80.4,67.7,73.7,81.6,67.7,73.8,62.4,68.3,0,0,0,,0,0,16.1,9.8,149.9,1011.8,84.2,9.9,86.7,7.5,5,10,2023-10-10T07:19:12,2023-10-10T18:56:00,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
pasadena,2023-10-11,71.8,65.8,68.5,71.8,65.8,68.5,63,83,0.434,100,54.17,rain,0,0,27.1,16.3,73.8,1007.2,90.9,8.7,71,6.2,3,10,2023-10-11T07:19:49,2023-10-11T18:54:52,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KAXH,KIAH,F2972,72244012918,KMCJ"
